# secgurd community IOC list
# Auto-generated from abuse.ch MalwareBazaar recent export
# Updated: 2026-06-29 11:18:08 UTC
# Format: <sha256>,<malware family/signature>
#
5b88eb2c33e9389324abd2f14064a0c1861bdccd5ee12c49e6620112c2c8dfaf,RemcosRAT
5cc907b43309ce9700d132e32fa9a66f82dd50800f653c023c23ae1c6f8e1df2,Mirai
5e83283481ef1ed7877d832ae3ad53d836a3309b96d8ade1e56dd1726cd6fbe0,MalwareBazaar
5eafce5d6fadad40b6aa6f7a58da86bbbd29dba0d84c259dbc41c7671ade913c,Mirai
5efae610f13b8da52c3ff912843b6bfa32052bf4b79ce3a460d98141a47fd175,MalwareBazaar
5f78acea039d8558e91a4bb12a19e4fdfc0b19aae3662046a7b1a717ea6bb7b6,WeedHack
5fc500e23d1ab5a259f3b122811dfbda339e2a786c3810d96d7808303939db2d,CoinMiner
6013bb3f5a616f4316c493ec90ce459245b5cdc4697a3f22bfd00e601ed4d5d1,SilentNet
6079d4fb8062991eb93be25f276b537e8531d5565239645d2b094573781a7f78,SilentNet
61b82406637f811d7f7191859f6ad1fe2be2af06370d1f1dcf9b500d45689a7d,Gafgyt
625f745adbc6acebe0c96b0ece72256a8559f0684f7abfbbc69bd55cbb873e48,Mirai
629c1298e768c2c529326acbae7359cf4bec9c1e6621b108a321e271d31e276d,MalwareBazaar
63cf29f4098fa4432674927c681e2578df795063eaf9cd241e2ce9236c2cfe33,Mirai
63e0ead45ab257e0dd1cc8d5dc6d83f5e0313272a4840938e578628ee092a8ae,MalwareBazaar
640c7c6ea97dbecc0438cd6d77d4a599e459929f626e2f0b2b4a66dfe1f99b84,MassLogger
64309f0ad74e89aba1191baf8a9ddafd3cb8004227595bb08e737599585ef9d5,SilentNet
64b0dc4f8e133441917153b4323e01e04a289cfc10e8878baa1974f2f138ace9,Mirai
670482ef4243ca62c495b94b86af529e5b44fa449e524613cee373dd0aa549af,ValleyRAT
686c9f6ea24a16f1cabc40d7787ed700377d0289a00f0f5bfc49a2c5d88cc4da,Mirai
68dcb7b0ddb39c45cc340bb52b69961a3865aa533ca8a49c22a7f0e3ad66a51e,DarkMe
6b0f7b765ef1839ba6a5fb19dd18ecb7e354b058164391ea1c0036ca2a7ba7c7,Gafgyt
6d8bbe9c45a9380f0312740bd154bbdb88aca4183ab6aa7e15eb2b652f33c8e6,DarkMe
6db892bb9921633415b73799421a00cea90d089960dcf2734f8722fb1bbfe210,SpyNote
6dbc819d3335dbe0a0992d05f358dcbbc35cd8bdc1c7cad19baf7c329f83c224,Mirai
6dec293665c624ca094b8d312697a50d0e757deef68f3e5bd71bb80cf994036e,Mirai
6ebaaf79e390b965a2112f43970a43e609aa090daf1131235bb59064b5cdf481,MalwareBazaar
6f2763361a98bdec1ffb3f084d3fac470d0e361ae1cd17e94ac6cdddf7c0e41a,MalwareBazaar
6f45ee1b7fdebe004d82f67fe458d64feef68ec3e638fc313b8836a72f140313,Mirai
6f93534ca2cf1260210d189cf8a8f955806651a5aa1cf0801bf5832e3f7b8a12,MalwareBazaar
706da49ead225c2f2f35924596d3f07939d714ad2e36bd1d8dbe52095800080d,MalwareBazaar
70a00eb807859f43ff3b4a27d478b51ba02d1cf9733234319b68b5f6c07d2fa3,MalwareBazaar
713a0b62de7a94d63139cde8bfbe39c68ce89386900c66e62038d9cc38bc8e96,Mirai
714a0f989232a2c52276af42c5692829bace698bd8d3fce78ad7cb7f6272a366,MalwareBazaar
716612c11982500cca51970f822ddffb5a4b3aa84fda3cb30ffab6daa94f5248,Socks5Systemz
71a953f1daa8027e8cbe8c236efce69e616d825e1b834033b362989870c50c66,MalwareBazaar
71b203ab29d830edec1f478d7a4d9bd9dd6bbdf410ff70daf5b73d5cb1b26523,MalwareBazaar
7226023a899adc6bd7a1615dd1d59ecf1df04c3be6173a31a0442f4618b7ef57,Mirai
72ae99c2af2f47b65dc99c828a8227d88b3143f698ba7bf4370f8a90f18ac37d,Mirai
72e4015d336b0811179b182304396baabcf55b261631602e6c59163821e4654c,Mirai
735017f0bd2a42a7067fcece1436c61d71e4a5b7ea717ba12a74d06dc5ff582f,MalwareBazaar
7367ea4cb0851baf6e17d42347060d4c60fd40d18d3faa7af146992cdead2999,Gh0stRAT
737646392a7c882064e22ecb9fc0b2732399e44ced2f56d873e656d0035af288,RemcosRAT
73d001993a857c1e6d21fc05174e4287629be1e4d62522e3a515e8565ceecab5,Mirai
7430d833a17c9edbdf783da3d61c22a3b47598c772acb514e1ed053c3750b7c0,Joker
744a5384a8bc1749ec3d656c2a123410b336894c771dcc37d8e744e352f6c647,Mirai
