# secgurd community IOC list
# Auto-generated from abuse.ch MalwareBazaar recent export (Windows PE + scripts only)
# Updated: 2026-08-08 07:04:35 UTC
# Format: <sha256>,<malware family/signature>
#
5b2d48b4ea0599e4cfa18fd532be04ce24fcb559d789432a64708feea05bf83f,ConnectWise
5c113804b804fb934afe84965e69a2bd912cef31203b2e4f367d8986b8783c93,Stealc
5ca996e9664fa0e9d37fe47a30044123599e97b93781c708e79009ed6cfe9f00,MalwareBazaar
5ce1e12c368f37ad5a2d221acdc0b6158c896ad6e0666e4026622b4d92155e09,LxBaseRAT
5d5cd70cf760b62aa3eb044cd0e9d0a9d70bedf9c277fc26eced2915a18087f3,VIPKeylogger
5d9709d9df3105a401b0ba476bc582951883dfd0da0cdfef2bc7070a451ef29d,VIPKeylogger
5fa116e699f23e230c6c17a47d499feae725069ec5186196df24a7346e0f77f5,MalwareBazaar
5fc8146428d65afc46a1138d4fd7f9cf50b3f1afcbe444659dc6e29cf60b1679,AgentTesla
5ff9064cedfad0ca1c7dddd455808c706e3903855718953f5ce33e1c92af165b,MalwareBazaar
604540e8f61d04ed0bde2678ace8d1d9a43461e0a2b8533d371891d6bf4089a2,Efimer
60a779d7f51d106e4a8d14e6fe987ca6b7ec4b6c7942c665bb6653a0dae0fc4d,NanoCore
60b6d33f3c8e7321b712489c201910042b3f082e93ecba0fabb25ec1718c706b,XWorm
60df12c872628826a9a5289474082ffe1ea55819133219dde1d656bdb0d502fd,ConnectWise
60ec19fab5eee309069c92c8bb0b31fee178b056d367476c73e5deb38e17a72b,MalwareBazaar
615a472ec89ed0f34c7c4a51131e19ee154b2e49d70bf51f04119de521c05d48,SalatStealer
62777784d0ae13dd67a9694ee724aac773d8413eb48bd8fa27638ed685a7d395,MalwareBazaar
63d9ee9be6336b953a7e82fd8d951db99d4c0518a98b7a49a2b6f0b3b4ddcb7e,PureLogsStealer
63ebc5bb3a36ac820fddc9ccdd48a19bf8fc4b08fa4b5044bdf1027dbdce42e8,MalwareBazaar
644667c869b560afdd523a5c2dae1e4a6753481f7b155df378cd59377e4b2b55,RemusStealer
64a3f7ce905035fd8f86d59fd09cb0920ed03574be40e75dc5b2496541003d7d,LxBaseRAT
64e4881678cb0bdd236213ed78942e00dce7d55ce551b2989f521ed191f48c2b,XWorm
652f91bcf60dc148e7af64bf509cd4f7e4ffac685030bc260c59c7b869585ac9,Stealc
664c8ea6640f0e3f8bd5ba3429656635d59f8272e37e0cdf646a1613efda9d8f,AdaptixC2
66b98067cb4b20d0da1e9459f5851b7d86e046afa9a78ff87b9bb1c641e3a771,WannaCry
670e15d21d6ffa4f89be367e9c0007eab1d123f8f92d1af8ac95de8a935e7332,MalwareBazaar
690b3aacb438e50788ca6018d18caa7bd1d18121e71649e7d2e36067919ca0d6,ValleyRAT
690fec775cd64557e5dd6e930f3c7b073a89129baf5ca8e4fa92262cd2930bf9,MassLogger
6b3062c7b0408711b942f47e3d30d776a91d3963c3a243408d2421f164f2b987,MalwareBazaar
6b56330453cc8a4b161ac71d6a9438d0aa8b9ff9971e42e64e2645e313445dbc,RemcosRAT
6be297553f7f63f4d32b4c8618052324ce0c3161f4c3fac77eca42cd29d9b577,MalwareBazaar
6c16fb794b6ae6e193e5ca07e5bec0aeeda83d61ddc45f0a66944dde69b210a5,ConnectWise
6d88b936577ad83ee53050c6e807dcf312996585ecc3563c29d1c6a7da39f8a9,MalwareBazaar
6e383213ab698d95c19ba53e6fac6388883139934a91e4c816ee86ff33c0de33,Formbook
6e679d77e2ca2f8cfbbe65306d0dea83fc3363ab2254a2afe33ac82f821fdd87,MalwareBazaar
6f69e704739b26996cf7b5513e9e121a622429c6973b4c8fd1144c6f71d6758b,RemcosRAT
706010061f5682cf131c7be3e1ae82a779994ec61ab2efec5d7921f08c6abe8b,RemcosRAT
707c9077934fbbf80229b6c018dcbff068352d78f765b0187adfda25198f31ef,AgentTesla
70c0c96ab942433b8a5965ce46ff9a582e7f532ee19f865d1131aa688f178da1,RemcosRAT
7201a98d0eaa5130d7c0adf714492ff6617a676293cadfda66a241a3c1515e71,MalwareBazaar
722635285b6ed905f035850ac097bb619e4f6cf805bbd5d468f053e8f362bcfc,NanoCore
72b0ee76e31527fa94e063ef15580037a2148bf59d6f981faab92a82f5403d58,CoinMiner
73b27055b72328828d5b84e444872a14ef775f6dcb9fbc3b33888d7e90f0b301,ConnectWise
7400338612e9710bb38d4d135df92793c6e68a3311dd0e9f8c36172a4efb882b,PhantomStealer
753d9d15ce2409f6381f6ac02641db61a86d3a44790db82e28750b5fee75ad74,RemcosRAT
75581ce98d1b37d26e52ee2fa4157ca248e5ce9ef32969489995db44f47e070d,MalwareBazaar
76187f95a48f5e16ef140b2221b24a6d6c02b50ede6277f04bcbd620c011477c,AgentTesla
774abc6247967d4f39888db18cce6c42f70f12fed58caa247b7cef14841d5d6f,AsyncRAT
78efb35e7b51882913109c68e386b0bd2941901a451a35022bf5e5a2f018dfcb,DCRat
7b39640545ca6bd532f9598c69ab8d681513a91580f6c277aee4de5afc21637d,XWorm
7bd02f6e1de477b261c0725c9dd7d6570bc96ce767d23b778cb6ea8a47a4d611,AgentTesla
